SalesAgentName,SalesAgentEmailAddress,ClientName,ClientIdentifier,BankName,AccountNumber,SortCode,Currency
"Adrian Smith","adriansmith475@somecompany8520.com","John Smith","PKHH7803","HSBC Bank Plc","90939521","218762","EUR"
"David Mitchell","davidmitchell828@somecompany4273.com","Charles Evans","YVNE5773","Standard Chartered Bank","39273770","521674","GBP"
"Noel Mitchell","noelmitchell393@somecompany5028.com","Noah White","OGTQ6205","Bank of Scotland plc","59875888","205677","AUD"
"Benjamin Jackson","benjaminjackson197@somecompany5430.com","Noel White","NKIJ9942","HSBC Bank Plc","95471478","173055","USD"
"Logan Taylor","logantaylor653@somecompany2430.com","Charles Roberts","PAAX3615","Clydesdale Bank Plc","70262214","665683","EUR"
"David Mitchell","davidmitchell364@somecompany9806.com","Benjamin Walker","SPJL6643","Barclays Bank Plc","35945096","888862","AUD"
"Charles Robinson","charlesrobinson388@somecompany3574.com","Charles Davis","BING7359","Standard Chartered Bank","09216118","046506","EUR"
"Logan Taylor","logantaylor653@somecompany2430.com","Logan Thompson","EBEC7982","HSBC Bank Plc","46474903","154296","EUR"
"Adrian Mitchell","adrianmitchell440@somecompany5429.com","Liam Jones","GLFM3993","Bank of Scotland plc","32031646","969990","AUD"
"David Mitchell","davidmitchell828@somecompany4273.com","Charles Jackson","AMGU4470","Standard Chartered Bank","64778541","252347","EUR"
"Adrian Thompson","adrianthompson593@somecompany1422.com","Jack James","AFOD0230","HSBC Bank Plc","94531131","096395","USD"
"Adrian Smith","adriansmith475@somecompany8520.com","Sebastian Wright","KQYB3242","Standard Chartered Bank","98501191","005913","GBP"
"Oliver Clarke","oliverclarke993@somecompany6190.com","David Thomas","REQI6697","Metro Bank PLC","93558038","913852","AUD"
"Lucas Mason","lucasmason166@somecompany8978.com","Richard James","MSWS1838","Standard Chartered Bank","11659072","327639","EUR"
"Adrian Thompson","adrianthompson593@somecompany1422.com","Noel Roberts","UWEA8651","Lloyds Bank Plc","21823327","088587","AUD"
"Liam Mason","liammason829@somecompany4245.com","Joseph Mitchell","MQVG4548","HSBC Bank Plc","23341444","712120","AUD"
"James Evans","jamesevans773@somecompany9894.com","Benjamin Robinson","LZFR1035","Barclays Bank Plc","36948310","324626","AUD"
"David Mitchell","davidmitchell828@somecompany4273.com","Joseph Clarke","MELJ4177","Metro Bank PLC","26815072","912887","EUR"
"Richard Brown","richardbrown396@somecompany3795.com","Adrian Clarke","VJGY0020","Yorkshire Bank","79570505","553528","EUR"
"Oliver Wright","oliverwright31@somecompany3831.com","Sebastian Clarke","MORL0168","Metro Bank PLC","80243217","154823","EUR"
"Logan Wood","loganwood112@somecompany0924.com","Dylan Johnson","NDJI2448","Metro Bank PLC","95403849","002910","AUD"
"Logan Wood","loganwood112@somecompany0924.com","Benjamin Williams","FKZW0407","Standard Chartered Bank","47803235","495509","GBP"
"Adrian Wood","adrianwood780@somecompany0199.com","Noel Evans","TZZA6810","Lloyds Bank Plc","02845553","122397","USD"
"Logan Taylor","logantaylor653@somecompany2430.com","Jacob Robinson","LUBE1353","Standard Chartered Bank","87769419","785006","AUD"
"Jack Jackson","jackjackson318@somecompany0939.com","Joseph Jackson","RCFF8418","Barclays Bank Plc","82229193","923450","EUR"
"Jack Jackson","jackjackson318@somecompany0939.com","Liam Wood","QFMB1251","Standard Chartered Bank","40807837","687007","USD"
"Adrian Thompson","adrianthompson593@somecompany1422.com","Thomas Davis","CGMN1790","Clydesdale Bank Plc","18472871","350468","EUR"
"Adrian Wood","adrianwood780@somecompany0199.com","Jack Wright","RDXL8899","Metro Bank PLC","59368173","675759","EUR"
"Lucas Thompson","lucasthompson18@somecompany6810.com","Noah Wilson","OTBD7823","Barclays Bank Plc","50996922","624169","GBP"
"Noah Wilson","noahwilson84@somecompany1934.com","William Robinson","QZDS7606","Bank of Scotland plc","97874692","598898","GBP"
"Charles Robinson","charlesrobinson388@somecompany3574.com","Elijah Johnson","QGNH2269","HSBC Bank Plc","98489703","984627","GBP"
"Benjamin Walker","benjaminwalker460@somecompany2632.com","Sebastian Wood","ZEDR9794","Lloyds Bank Plc","34756971","488795","EUR"
"Jack Jackson","jackjackson318@somecompany0939.com","Michael Phillips","FNJA2991","Lloyds Bank Plc","90041083","745277","AUD"
"Robert Johnson","robertjohnson1@somecompany6020.com","John Williams","YPLJ7894","Bank of Scotland plc","25767565","678538","GBP"
"Charles Johnson","charlesjohnson502@somecompany0377.com","Noel Wright","TQHX7273","Standard Chartered Bank","34707511","042768","USD"
"Charles Johnson","charlesjohnson502@somecompany0377.com","Logan Phillips","TEZC2228","Barclays Bank Plc","94158358","088081","GBP"
"Charles Robinson","charlesrobinson388@somecompany3574.com","Jack Mitchell","EYQN3532","Standard Chartered Bank","74960049","252767","AUD"
"Logan Wood","loganwood112@somecompany0924.com","William Clarke","YGID8991","Clydesdale Bank Plc","83536912","712926","AUD"
"James Evans","jamesevans773@somecompany9894.com","Noah Cox","ZPZB3170","Bank of Scotland plc","06271753","667997","AUD"
"Joseph Walker","josephwalker256@somecompany0692.com","John Williams","YNAI3740","Lloyds Bank Plc","99943382","032552","AUD"
"Charles Johnson","charlesjohnson502@somecompany0377.com","Sebastian Phillips","WEEC8956","Standard Chartered Bank","80652301","212675","GBP"
"Adrian Thompson","adrianthompson593@somecompany1422.com","John Walker","JLCK4535","Metro Bank PLC","06452258","906704","EUR"
"Noah Williams","noahwilliams796@somecompany7382.com","Oliver Thomas","RVQC3257","Standard Chartered Bank","56260629","852153","AUD"
"David Mitchell","davidmitchell828@somecompany4273.com","Charles Wood","RYTM2034","Standard Chartered Bank","41853367","232220","EUR"
"Noel Mitchell","noelmitchell393@somecompany5028.com","Jack White","UFOJ2821","Clydesdale Bank Plc","24907115","595437","USD"
"Joseph Johnson","josephjohnson953@somecompany6572.com","William Jackson","QMQN1998","Standard Chartered Bank","20540719","187507","GBP"
"Robert Johnson","robertjohnson8@somecompany6227.com","William Wright","ZQLX9230","Lloyds Bank Plc","84602130","772345","USD"
"Jack Mitchell","jackmitchell27@somecompany8468.com","William Thompson","UXZS3309","Bank of Scotland plc","05263172","275384","GBP"
"Richard Brown","richardbrown396@somecompany3795.com","Lucas Wood","PCRX5621","Lloyds Bank Plc","06508741","974816","USD"
"Richard Thomas","richardthomas153@somecompany8459.com","William Smith","KGSE6383","Clydesdale Bank Plc","76774262","880737","USD"
"David Jones","davidjones463@somecompany5761.com","Noel Thompson","GPYZ8121","Bank of Scotland plc","02604702","493745","USD"
"Adrian Thompson","adrianthompson593@somecompany1422.com","Noel Roberts","UWEA8651","Clydesdale Bank Plc","83442781","973158","EUR"
"Benjamin Williams","benjaminwilliams387@somecompany9080.com","Richard Mason","AIDL4105","Yorkshire Bank","16777940","948657","GBP"
"Adrian Thompson","adrianthompson593@somecompany1422.com","Thomas Davis","CGMN1790","Bank of Scotland plc","73114222","103681","USD"
"Richard Thomas","richardthomas153@somecompany8459.com","Jack Brown","MTNI8751","Bank of Scotland plc","79710215","739007","EUR"
"Joseph Walker","josephwalker256@somecompany0692.com","David Cox","ENTI7866","Bank of Scotland plc","53974563","848620","AUD"
"Adrian Smith","adriansmith475@somecompany8520.com","Lucas Wilson","TIXL4536","Clydesdale Bank Plc","10064105","472197","GBP"
"Logan Taylor","logantaylor653@somecompany2430.com","Robert James","NWSR0202","Lloyds Bank Plc","66724145","218674","AUD"
"Richard Brown","richardbrown396@somecompany3795.com","Lucas Wood","PCRX5621","Yorkshire Bank","27787787","177978","GBP"
"Adrian Smith","adriansmith475@somecompany8520.com","Adrian Jackson","HCMX8876","HSBC Bank Plc","06714096","689102","EUR"
"Thomas Jackson","thomasjackson880@somecompany8614.com","Thomas Mitchell","HUGF2519","Bank of Scotland plc","68442666","715436","EUR"
"David Jones","davidjones463@somecompany5761.com","Mason Davis","PWYZ9484","HSBC Bank Plc","01785356","667344","USD"
"Benjamin Walker","benjaminwalker460@somecompany2632.com","Lucas Davis","IFNV1904","Clydesdale Bank Plc","95396372","972259","AUD"
"Jack Jackson","jackjackson318@somecompany0939.com","Robert Mason","WQOA3178","Bank of Scotland plc","64430116","418472","USD"
"Richard Brown","richardbrown396@somecompany3795.com","Sebastian Phillips","SNUA8777","Clydesdale Bank Plc","01777539","557078","USD"
"Charles Williams","charleswilliams974@somecompany5848.com","Oliver James","HZYE6141","Yorkshire Bank","28422094","448112","GBP"
"Robert Johnson","robertjohnson1@somecompany6020.com","Lucas Mitchell","QPXQ7791","Bank of Scotland plc","87334623","648783","USD"
"Adrian Wood","adrianwood780@somecompany0199.com","Noah Wood","LKWX0643","Lloyds Bank Plc","44064802","918656","USD"
"Charles Johnson","charlesjohnson502@somecompany0377.com","Thomas Jackson","RGNE0440","HSBC Bank Plc","24890799","139457","USD"
"Charles Williams","charleswilliams974@somecompany5848.com","Richard Roberts","IFCP6567","Clydesdale Bank Plc","49827867","063115","AUD"
"Joseph Johnson","josephjohnson953@somecompany6572.com","Noel Wright","TEWU4392","Lloyds Bank Plc","28953978","519692","AUD"
"Adrian Thompson","adrianthompson593@somecompany1422.com","John Walker","JLCK4535","Clydesdale Bank Plc","41147084","351923","GBP"
"Benjamin Williams","benjaminwilliams387@somecompany9080.com","Jack Wilson","JUPW9199","HSBC Bank Plc","32247344","233784","AUD"
"Noah White","noahwhite636@somecompany3695.com","Mason Roberts","NYHP7953","Clydesdale Bank Plc","33583551","223288","GBP"
"Noah Williams","noahwilliams796@somecompany7382.com","Jack Johnson","VKBP5448","Metro Bank PLC","06339892","638346","EUR"
"Thomas Jackson","thomasjackson880@somecompany8614.com","Mason Jones","GLFO4334","Barclays Bank Plc","82490720","495334","USD"
"David Mitchell","davidmitchell364@somecompany9806.com","Elijah Mitchell","KEGJ3895","Yorkshire Bank","44590952","794146","EUR"
"James Evans","jamesevans773@somecompany9894.com","Jack Evans","QYYM6678","HSBC Bank Plc","01669728","900246","AUD"
"Jack Evans","jackevans438@somecompany1820.com","John Mitchell","FEIZ7624","Metro Bank PLC","96414651","920396","EUR"
"James James","jamesjames272@somecompany8044.com","Dylan Mason","WFNR2588","Yorkshire Bank","44686329","967150","USD"
"Jack Mitchell","jackmitchell27@somecompany8468.com","David Taylor","LGSN7491","HSBC Bank Plc","00280593","111648","USD"
"Adrian Wood","adrianwood780@somecompany0199.com","Dylan Mason","LKHO5200","Clydesdale Bank Plc","89789103","491529","GBP"
"Noel Mitchell","noelmitchell393@somecompany5028.com","Noah White","OGTQ6205","Yorkshire Bank","16617087","814560","EUR"
"Logan Evans","loganevans645@somecompany5599.com","Liam Williams","BFQQ7397","Standard Chartered Bank","16850400","905423","GBP"
"Benjamin Cox","benjamincox830@somecompany0720.com","Ian Brown","LCIJ3579","Standard Chartered Bank","75601237","414456","EUR"
"Richard Thomas","richardthomas153@somecompany8459.com","Benjamin Taylor","KGXB5985","Metro Bank PLC","61802268","079741","EUR"
"Lucas Brown","lucasbrown29@somecompany6394.com","Richard White","OVPV8295","Yorkshire Bank","15620452","116420","AUD"
"Adrian Wood","adrianwood780@somecompany0199.com","John Wood","HQPC2411","Yorkshire Bank","10560838","081692","EUR"
"Richard Brown","richardbrown396@somecompany3795.com","William Jones","JBWZ1680","Barclays Bank Plc","78174918","981170","EUR"
"Joseph Walker","josephwalker256@somecompany0692.com","Sebastian Brown","WEUL2614","Metro Bank PLC","21374489","515251","USD"
"Charles Davis","charlesdavis7@somecompany3124.com","John Smith","IVIV5394","Lloyds Bank Plc","54460521","684959","AUD"
"Logan Taylor","logantaylor653@somecompany2430.com","Charles Roberts","PAAX3615","Bank of Scotland plc","60628691","847233","GBP"
"David Jones","davidjones463@somecompany5761.com","Liam Walker","MGPL1842","Barclays Bank Plc","26017027","507347","AUD"
"James James","jamesjames272@somecompany8044.com","Sebastian Phillips","LUBE3065","Bank of Scotland plc","68520731","465879","USD"
"Richard Brown","richardbrown396@somecompany3795.com","David Smith","TEPS3133","Barclays Bank Plc","22283436","997960","GBP"
"Thomas Jackson","thomasjackson880@somecompany8614.com","Liam Wright","ZNVT7459","Yorkshire Bank","87433693","139116","USD"
"Adrian Smith","adriansmith475@somecompany8520.com","Adrian Smith","RNSS9690","Clydesdale Bank Plc","41535921","917103","GBP"
"Charles Robinson","charlesrobinson388@somecompany3574.com","Joseph James","EBCF7331","Clydesdale Bank Plc","55693890","821746","GBP"
"Charles Johnson","charlesjohnson502@somecompany0377.com","Dylan Evans","ZOZY9368","HSBC Bank Plc","57387873","869347","EUR"
"Richard Thomas","richardthomas153@somecompany8459.com","David Jackson","SJXN4131","Bank of Scotland plc","97356764","927620","AUD"
"Logan Wood","loganwood112@somecompany0924.com","Joseph Jones","EJDT5387","Lloyds Bank Plc","46441057","625100","GBP"
"Charles Johnson","charlesjohnson502@somecompany0377.com","Logan Phillips","TEZC2228","Barclays Bank Plc","58423664","350511","GBP"
"Richard Thomas","richardthomas153@somecompany8459.com","Benjamin Brown","NUHK7153","Standard Chartered Bank","65501219","094065","EUR"
"David Mitchell","davidmitchell364@somecompany9806.com","Benjamin Smith","YTCM2439","Lloyds Bank Plc","70253080","311411","USD"
"Joseph Walker","josephwalker256@somecompany0692.com","Ian Taylor","ALKK4390","Clydesdale Bank Plc","16424606","268711","GBP"
"David Mitchell","davidmitchell364@somecompany9806.com","Sebastian Wright","PRGA8097","Barclays Bank Plc","00707033","877428","USD"
"Noah Wilson","noahwilson84@somecompany1934.com","Richard Robinson","VBFM5526","Metro Bank PLC","56103603","009009","EUR"
"Noah James","noahjames83@somecompany2687.com","Jacob Clarke","TEND0194","Metro Bank PLC","66178240","111097","GBP"
"Adrian Smith","adriansmith475@somecompany8520.com","Liam White","DDJR9216","Bank of Scotland plc","50252473","008111","AUD"
"Liam Mason","liammason829@somecompany4245.com","Liam Thomas","ZHDT8202","Clydesdale Bank Plc","60741348","797635","AUD"
"Joseph Johnson","josephjohnson953@somecompany6572.com","Adrian Clarke","RIFE2235","Bank of Scotland plc","31191857","417710","AUD"
"David Mitchell","davidmitchell364@somecompany9806.com","Lucas Walker","DVAU9701","Yorkshire Bank","32056653","354468","EUR"
"Ian Evans","ianevans125@somecompany3220.com","Benjamin Green","YYXL9106","Clydesdale Bank Plc","54913025","181200","AUD"
"Richard Thomas","richardthomas153@somecompany8459.com","Sebastian Wright","AFUX1705","Yorkshire Bank","29681354","296782","AUD"
"Joseph Walker","josephwalker256@somecompany0692.com","Liam Wright","NGXD4262","HSBC Bank Plc","57698026","670424","EUR"
"Logan Taylor","logantaylor653@somecompany2430.com","Dylan Walker","WVLL9826","Standard Chartered Bank","36040246","140332","AUD"
"Adrian Wood","adrianwood780@somecompany0199.com","John Taylor","HZQR4288","Clydesdale Bank Plc","75065440","665926","EUR"
"Benjamin Williams","benjaminwilliams387@somecompany9080.com","Noah Wood","QZVO7606","Barclays Bank Plc","19583822","578448","AUD"
"David Jones","davidjones463@somecompany5761.com","John Jackson","KXNV1788","Barclays Bank Plc","97487010","197861","EUR"
"James James","jamesjames272@somecompany8044.com","Dylan Roberts","CFAH6864","Lloyds Bank Plc","13608677","230552","USD"
"Jack Jackson","jackjackson318@somecompany0939.com","Liam Wood","QFMB1251","Metro Bank PLC","78472485","214330","AUD"
"Lucas Thompson","lucasthompson18@somecompany6810.com","Elijah Walker","FIBI7106","Bank of Scotland plc","04501597","890619","GBP"
"Noah White","noahwhite636@somecompany3695.com","Jack Taylor","DBKU4734","Clydesdale Bank Plc","34735534","589316","GBP"
"Joseph Walker","josephwalker256@somecompany0692.com","William White","SRFU7508","HSBC Bank Plc","28435716","662774","AUD"
"Jack Evans","jackevans438@somecompany1820.com","Noah Wood","HBHV5402","Bank of Scotland plc","92518856","690565","USD"
"Richard Thomas","richardthomas153@somecompany8459.com","Richard James","YBWM0055","Lloyds Bank Plc","53769200","850574","EUR"
"James James","jamesjames272@somecompany8044.com","Liam Jones","EWTF6539","Bank of Scotland plc","79917553","342857","AUD"
"James James","jamesjames272@somecompany8044.com","Dylan Jackson","YMLW5919","Lloyds Bank Plc","36804930","174875","USD"
"Logan Taylor","logantaylor653@somecompany2430.com","Joseph Wood","PKMC0794","Bank of Scotland plc","61156791","975230","EUR"
"David Mitchell","davidmitchell828@somecompany4273.com","Michael Robinson","ABCW7667","HSBC Bank Plc","52186536","167751","EUR"
"Lucas Thompson","lucasthompson18@somecompany6810.com","Charles Smith","WZTZ4996","Standard Chartered Bank","15169478","930213","AUD"
"Logan Evans","loganevans645@somecompany5599.com","Mason Williams","STXQ8262","Bank of Scotland plc","49670912","973065","AUD"
"Adrian Smith","adriansmith475@somecompany8520.com","Thomas Taylor","GUPF0156","Metro Bank PLC","27084250","227179","GBP"
"Noah James","noahjames83@somecompany2687.com","Jacob Clarke","TEND0194","Barclays Bank Plc","12833902","199565","GBP"
"James Evans","jamesevans773@somecompany9894.com","Benjamin Robinson","LZFR1035","Lloyds Bank Plc","63154327","609246","GBP"
"Noel Mitchell","noelmitchell393@somecompany5028.com","Liam Thompson","GACN4198","Lloyds Bank Plc","59115501","925872","GBP"
"Benjamin Walker","benjaminwalker460@somecompany2632.com","Robert White","MRIM9573","Lloyds Bank Plc","33754161","440007","USD"
"Richard Brown","richardbrown396@somecompany3795.com","Oliver Johnson","BMPG2850","Bank of Scotland plc","43157564","968112","GBP"
"Jack Evans","jackevans438@somecompany1820.com","William Cox","ZXAY7463","Yorkshire Bank","24429075","022399","USD"
"Richard Brown","richardbrown396@somecompany3795.com","Benjamin Mitchell","WGHR3939","Standard Chartered Bank","33849110","698175","AUD"
"Logan Taylor","logantaylor653@somecompany2430.com","Robert James","NWSR0202","Barclays Bank Plc","89308031","615005","GBP"
"Benjamin Williams","benjaminwilliams387@somecompany9080.com","Mason Robinson","KRYB1685","Yorkshire Bank","21927128","733474","AUD"
"Robert Johnson","robertjohnson1@somecompany6020.com","Lucas Mitchell","QPXQ7791","Barclays Bank Plc","49261748","016055","EUR"
"Charles Johnson","charlesjohnson502@somecompany0377.com","Thomas Evans","GMBW8506","Standard Chartered Bank","65189151","653114","USD"
"David Mitchell","davidmitchell364@somecompany9806.com","Ian Evans","ULNO3816","Clydesdale Bank Plc","00335501","248687","EUR"
"Adrian Wood","adrianwood780@somecompany0199.com","Elijah Green","LIMN9644","Metro Bank PLC","30719548","252686","AUD"
"Joseph Walker","josephwalker256@somecompany0692.com","Logan Davis","GXXL4722","Clydesdale Bank Plc","08465322","306258","EUR"
"Richard Thomas","richardthomas153@somecompany8459.com","Mason Thomas","IBOS2773","Barclays Bank Plc","94106817","470749","USD"
"Noah Williams","noahwilliams796@somecompany7382.com","Noah Cox","XNWQ4775","Standard Chartered Bank","81379541","568563","EUR"
