SalesAgentName,SalesAgentEmailAddress,ClientName,ClientIdentifier,BankName,AccountNumber,SortCode,Currency
"Charles Mason","charlesmason384@somecompany4187.com","Mason Williams","GEDY3624","Yorkshire Bank","86349404","939711","USD"
"Charles Mason","charlesmason384@somecompany4187.com","John Williams","MBCJ6589","HSBC Bank Plc","53740047","232266","GBP"
"Charles Mason","charlesmason384@somecompany4187.com","John Williams","MBCJ6589","Clydesdale Bank Plc","84097224","998408","EUR"
"Charles Mason","charlesmason384@somecompany4187.com","David Phillips","WRRM7165","Bank of Scotland plc","62443364","837302","EUR"
"Charles Mason","charlesmason384@somecompany4187.com","David Phillips","WRRM7165","Bank of Scotland plc","10637101","735479","USD"
"Charles Mason","charlesmason384@somecompany4187.com","David Phillips","WRRM7165","Barclays Bank Plc","41765416","201875","EUR"
"Charles Mason","charlesmason384@somecompany4187.com","David Phillips","WRRM7165","HSBC Bank Plc","86968434","236981","EUR"
"Charles Mason","charlesmason384@somecompany4187.com","William Smith","YZNZ5780","Metro Bank PLC","02327151","973973","USD"
"Charles Mason","charlesmason384@somecompany4187.com","Noel Davis","VAKE8056","Yorkshire Bank","02782649","942665","GBP"
"Charles Mason","charlesmason384@somecompany4187.com","Noel Davis","VAKE8056","Clydesdale Bank Plc","29216397","112842","EUR"
"Charles Mason","charlesmason384@somecompany4187.com","Noel Davis","VAKE8056","Barclays Bank Plc","36069561","932292","USD"
"Charles Mason","charlesmason384@somecompany4187.com","Noel Davis","VAKE8056","Standard Chartered Bank","15853637","296135","EUR"
"Charles Mason","charlesmason384@somecompany4187.com","Oliver Clarke","HAOL2720","Barclays Bank Plc","07897478","407632","USD"
"Charles Mason","charlesmason384@somecompany4187.com","Oliver Clarke","HAOL2720","Yorkshire Bank","95738648","932620","USD"
"Charles Mason","charlesmason384@somecompany4187.com","Jack Cox","UOER3887","Metro Bank PLC","36630387","394329","GBP"
"Charles Mason","charlesmason384@somecompany4187.com","Elijah Brown","QJTL2247","Clydesdale Bank Plc","28414752","795925","AUD"
"Charles Mason","charlesmason384@somecompany4187.com","Elijah Brown","QJTL2247","HSBC Bank Plc","64316868","089834","AUD"
"Charles Mason","charlesmason384@somecompany4187.com","Elijah Brown","QJTL2247","Clydesdale Bank Plc","45444284","477246","GBP"
"Charles Mason","charlesmason384@somecompany4187.com","Elijah Brown","QJTL2247","Barclays Bank Plc","48504663","260686","AUD"
"Charles Mason","charlesmason384@somecompany4187.com","Benjamin James","MTEN9358","Standard Chartered Bank","13347745","888880","USD"
"Charles Mason","charlesmason384@somecompany4187.com","Benjamin James","MTEN9358","Standard Chartered Bank","21688421","130981","USD"
"Charles Mason","charlesmason384@somecompany4187.com","Benjamin James","MTEN9358","Lloyds Bank Plc","98182690","234246","AUD"
"Charles Mason","charlesmason384@somecompany4187.com","Ian Cox","DJFY9712","HSBC Bank Plc","74663290","845626","EUR"
"Charles Mason","charlesmason384@somecompany4187.com","Thomas Brown","SNMY6801","Yorkshire Bank","84603527","688277","GBP"
"Charles Mason","charlesmason384@somecompany4187.com","Thomas Brown","SNMY6801","Standard Chartered Bank","54153381","479888","EUR"
"Charles Mason","charlesmason384@somecompany4187.com","Richard Wood","ELTN2638","Bank of Scotland plc","15767836","986565","EUR"
"Charles Mason","charlesmason384@somecompany4187.com","Richard Wood","ELTN2638","Metro Bank PLC","64972638","571914","USD"
"Charles Mason","charlesmason384@somecompany4187.com","Richard Wood","ELTN2638","HSBC Bank Plc","47999219","592036","AUD"
"Charles Mason","charlesmason384@somecompany4187.com","Richard Wood","ELTN2638","Barclays Bank Plc","96089184","190973","USD"
"Logan Evans","loganevans101@somecompany8556.com","Thomas Green","HLJN9999","HSBC Bank Plc","34285801","122574","GBP"
"Logan Evans","loganevans101@somecompany8556.com","Thomas Green","HLJN9999","Lloyds Bank Plc","96496509","507419","AUD"
"Logan Evans","loganevans101@somecompany8556.com","Thomas Green","HLJN9999","Clydesdale Bank Plc","80178007","621607","EUR"
"Logan Evans","loganevans101@somecompany8556.com","Jack Jones","AIOQ7843","HSBC Bank Plc","05924866","247956","GBP"
"Logan Evans","loganevans101@somecompany8556.com","Jack Jones","AIOQ7843","Clydesdale Bank Plc","43983807","947233","GBP"
"Logan Evans","loganevans101@somecompany8556.com","Noah Roberts","QDIY1101","Yorkshire Bank","60784430","451241","GBP"
"Logan Evans","loganevans101@somecompany8556.com","Noah Roberts","QDIY1101","Bank of Scotland plc","14381320","000527","EUR"
"Logan Evans","loganevans101@somecompany8556.com","Noah Roberts","QDIY1101","Barclays Bank Plc","20187888","919134","EUR"
"Logan Evans","loganevans101@somecompany8556.com","Noah Cox","AQUT8387","Clydesdale Bank Plc","48867994","033264","AUD"
"Logan Evans","loganevans101@somecompany8556.com","Noah Cox","AQUT8387","Yorkshire Bank","30664981","713428","GBP"
"Logan Evans","loganevans101@somecompany8556.com","Noah Cox","AQUT8387","Yorkshire Bank","04413233","420377","AUD"
"Logan Evans","loganevans101@somecompany8556.com","Noah Cox","AQUT8387","Clydesdale Bank Plc","88970285","079665","GBP"
"Logan Evans","loganevans101@somecompany8556.com","Jacob Johnson","DDAU6173","Barclays Bank Plc","84391063","929859","GBP"
"Logan Evans","loganevans101@somecompany8556.com","Jacob Thomas","TXAV0468","Bank of Scotland plc","17060666","395597","USD"
"Logan Evans","loganevans101@somecompany8556.com","Jacob Thomas","TXAV0468","Bank of Scotland plc","33507080","521049","USD"
"Logan Evans","loganevans101@somecompany8556.com","Noah Robinson","FDEH7924","HSBC Bank Plc","11025903","222190","GBP"
"Logan Evans","loganevans101@somecompany8556.com","Noah Robinson","FDEH7924","Standard Chartered Bank","56246283","518056","AUD"
"Logan Evans","loganevans101@somecompany8556.com","Noel Mitchell","XKGY5489","HSBC Bank Plc","20211946","287826","EUR"
"Logan Evans","loganevans101@somecompany8556.com","Benjamin Wright","URMY4416","Lloyds Bank Plc","17562405","979621","GBP"
"Logan Evans","loganevans101@somecompany8556.com","Benjamin Wright","URMY4416","Yorkshire Bank","60152138","139367","GBP"
"Logan Evans","loganevans101@somecompany8556.com","Benjamin Wright","URMY4416","HSBC Bank Plc","38542168","614301","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","Noah Mitchell","XNSY1743","Lloyds Bank Plc","66532917","089955","GBP"
"Richard Roberts","richardroberts747@somecompany1502.com","Noah Mitchell","XNSY1743","Bank of Scotland plc","89255156","739126","EUR"
"Richard Roberts","richardroberts747@somecompany1502.com","Adrian Thompson","EYEU2112","Standard Chartered Bank","49928185","080509","EUR"
"Richard Roberts","richardroberts747@somecompany1502.com","Adrian Thompson","EYEU2112","Yorkshire Bank","00542188","318161","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","Oliver Thomas","FUKS2170","Barclays Bank Plc","66821300","786300","AUD"
"Richard Roberts","richardroberts747@somecompany1502.com","Oliver Thomas","FUKS2170","Standard Chartered Bank","27884773","785373","EUR"
"Richard Roberts","richardroberts747@somecompany1502.com","Oliver Thomas","FUKS2170","Barclays Bank Plc","27162593","036908","EUR"
"Richard Roberts","richardroberts747@somecompany1502.com","Oliver Thomas","FUKS2170","Clydesdale Bank Plc","84802979","855377","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","Dylan Phillips","CJXF5684","Bank of Scotland plc","18281243","468292","AUD"
"Richard Roberts","richardroberts747@somecompany1502.com","Dylan Phillips","CJXF5684","Metro Bank PLC","05620275","734692","GBP"
"Richard Roberts","richardroberts747@somecompany1502.com","Dylan Phillips","CJXF5684","Standard Chartered Bank","17802725","298458","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","Dylan Phillips","CJXF5684","Metro Bank PLC","38628508","161788","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","Liam Davis","DGLU4231","Bank of Scotland plc","42998721","598679","AUD"
"Richard Roberts","richardroberts747@somecompany1502.com","Liam Davis","DGLU4231","Lloyds Bank Plc","54746604","621533","AUD"
"Richard Roberts","richardroberts747@somecompany1502.com","Liam Davis","DGLU4231","Standard Chartered Bank","59386180","616525","EUR"
"Richard Roberts","richardroberts747@somecompany1502.com","Liam Davis","DGLU4231","HSBC Bank Plc","88784547","252666","AUD"
"Richard Roberts","richardroberts747@somecompany1502.com","Adrian Davis","AUPB9456","HSBC Bank Plc","94116775","603055","EUR"
"Richard Roberts","richardroberts747@somecompany1502.com","Adrian Davis","AUPB9456","Bank of Scotland plc","81394451","578882","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","Adrian Davis","AUPB9456","Metro Bank PLC","79873108","915979","GBP"
"Richard Roberts","richardroberts747@somecompany1502.com","Adrian Davis","AUPB9456","Bank of Scotland plc","48533804","906989","EUR"
"Richard Roberts","richardroberts747@somecompany1502.com","Richard Taylor","IPTW7715","Barclays Bank Plc","95355830","784983","AUD"
"Richard Roberts","richardroberts747@somecompany1502.com","Logan Cox","AZMD1166","Lloyds Bank Plc","07177843","704056","EUR"
"Richard Roberts","richardroberts747@somecompany1502.com","Logan Cox","AZMD1166","Yorkshire Bank","24730411","407842","AUD"
"Richard Roberts","richardroberts747@somecompany1502.com","Lucas White","AZRP1084","HSBC Bank Plc","69485182","985560","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","Lucas White","AZRP1084","Metro Bank PLC","06841547","662627","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","Lucas White","AZRP1084","Lloyds Bank Plc","86456923","369734","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","Jacob Mitchell","YFQD2157","Yorkshire Bank","92924969","670135","GBP"
"Richard Roberts","richardroberts747@somecompany1502.com","Mason Thompson","JFGQ3772","Standard Chartered Bank","43997430","673374","AUD"
"Richard Roberts","richardroberts747@somecompany1502.com","Mason Thompson","JFGQ3772","Lloyds Bank Plc","47800758","396291","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","Mason Thompson","JFGQ3772","Barclays Bank Plc","09438149","109849","EUR"
"Richard Roberts","richardroberts747@somecompany1502.com","Mason Thompson","JFGQ3772","Standard Chartered Bank","67394876","815771","GBP"
"Richard Roberts","richardroberts747@somecompany1502.com","Ian Davis","JUZQ7338","Yorkshire Bank","76434851","847228","EUR"
"Richard Roberts","richardroberts747@somecompany1502.com","Ian Davis","JUZQ7338","Metro Bank PLC","56108462","678000","EUR"
"Richard Roberts","richardroberts747@somecompany1502.com","Ian Davis","JUZQ7338","Lloyds Bank Plc","97817139","595841","EUR"
"Richard Roberts","richardroberts747@somecompany1502.com","Ian Davis","JUZQ7338","Barclays Bank Plc","10767813","017795","GBP"
"Richard Roberts","richardroberts747@somecompany1502.com","Oliver Green","HMXI8332","Yorkshire Bank","88851690","298065","GBP"
"Richard Roberts","richardroberts747@somecompany1502.com","Oliver Green","HMXI8332","Lloyds Bank Plc","46909702","802814","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","Oliver Green","HMXI8332","HSBC Bank Plc","32422253","505832","AUD"
"Richard Roberts","richardroberts747@somecompany1502.com","David Jackson","XSGM9176","Bank of Scotland plc","41886374","193206","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","David Jackson","XSGM9176","Yorkshire Bank","11862969","562822","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","David Jackson","XSGM9176","Metro Bank PLC","55942720","541196","EUR"
"Richard Roberts","richardroberts747@somecompany1502.com","Benjamin Cox","YPUA8549","Yorkshire Bank","18185665","796497","GBP"
"Richard Roberts","richardroberts747@somecompany1502.com","Benjamin Cox","YPUA8549","Standard Chartered Bank","74980671","378573","AUD"
"Richard Roberts","richardroberts747@somecompany1502.com","John Jackson","YQGI6291","Bank of Scotland plc","45609980","949410","EUR"
"Richard Roberts","richardroberts747@somecompany1502.com","John Jackson","YQGI6291","Standard Chartered Bank","81839407","845387","AUD"
"Richard Roberts","richardroberts747@somecompany1502.com","John Jackson","YQGI6291","Standard Chartered Bank","66781857","593934","EUR"
"Richard Roberts","richardroberts747@somecompany1502.com","John Jackson","YQGI6291","Barclays Bank Plc","78383510","581444","GBP"
"Richard Roberts","richardroberts747@somecompany1502.com","Logan Clarke","ULIS5050","Bank of Scotland plc","10349369","305057","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","Logan Clarke","ULIS5050","Clydesdale Bank Plc","61217043","618023","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","Logan Clarke","ULIS5050","Clydesdale Bank Plc","80845750","728456","AUD"
"Richard Roberts","richardroberts747@somecompany1502.com","John James","JKVO2050","Standard Chartered Bank","55698224","887952","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","John James","JKVO2050","Lloyds Bank Plc","29792269","984388","AUD"
"Richard Roberts","richardroberts747@somecompany1502.com","John James","JKVO2050","HSBC Bank Plc","97525863","447654","AUD"
"Richard Roberts","richardroberts747@somecompany1502.com","John James","JKVO2050","Lloyds Bank Plc","17863862","870979","EUR"
"Richard Roberts","richardroberts747@somecompany1502.com","Sebastian Jackson","ZXRD0334","Standard Chartered Bank","40450810","031103","USD"
"Richard Roberts","richardroberts747@somecompany1502.com","Sebastian Jackson","ZXRD0334","Standard Chartered Bank","86557872","499074","USD"
"James Walker","jameswalker738@somecompany7249.com","Lucas Wood","PBVU3724","Yorkshire Bank","90631109","135038","USD"
"James Walker","jameswalker738@somecompany7249.com","Lucas Wood","PBVU3724","Lloyds Bank Plc","65475818","126153","EUR"
"James Walker","jameswalker738@somecompany7249.com","Lucas Wood","PBVU3724","Bank of Scotland plc","59470403","895235","AUD"
"James Walker","jameswalker738@somecompany7249.com","Liam Walker","CQAY3088","Yorkshire Bank","49488543","355151","AUD"
"James Walker","jameswalker738@somecompany7249.com","Elijah Wright","MPMQ6728","Metro Bank PLC","63822188","573804","EUR"
"James Walker","jameswalker738@somecompany7249.com","Elijah Wright","MPMQ6728","Yorkshire Bank","28180788","364836","EUR"
"James Walker","jameswalker738@somecompany7249.com","Elijah Wright","MPMQ6728","Yorkshire Bank","58606294","300466","EUR"
"James Walker","jameswalker738@somecompany7249.com","Elijah Wright","MPMQ6728","Bank of Scotland plc","96437159","499569","EUR"
"James Walker","jameswalker738@somecompany7249.com","Elijah Jones","IFTP2997","Bank of Scotland plc","64261486","112427","EUR"
"James Walker","jameswalker738@somecompany7249.com","Elijah Jones","IFTP2997","Metro Bank PLC","34735122","322344","USD"
"James Walker","jameswalker738@somecompany7249.com","Elijah Jones","IFTP2997","Bank of Scotland plc","55207241","087018","AUD"
"James Walker","jameswalker738@somecompany7249.com","Adrian Roberts","RMYF4510","Standard Chartered Bank","14267186","449006","USD"
"James Walker","jameswalker738@somecompany7249.com","Adrian Roberts","RMYF4510","Metro Bank PLC","42043238","891307","AUD"
"James Walker","jameswalker738@somecompany7249.com","William Robinson","AOPA2092","Lloyds Bank Plc","56438809","985913","AUD"
"James Walker","jameswalker738@somecompany7249.com","William Robinson","AOPA2092","Standard Chartered Bank","05665204","670490","USD"
"James Walker","jameswalker738@somecompany7249.com","William Robinson","AOPA2092","Bank of Scotland plc","58214842","797100","USD"
"James Walker","jameswalker738@somecompany7249.com","David Phillips","ZLRA9350","Barclays Bank Plc","76083432","063213","AUD"
"James Walker","jameswalker738@somecompany7249.com","David Phillips","ZLRA9350","Metro Bank PLC","49352824","003599","EUR"
"James Walker","jameswalker738@somecompany7249.com","David Phillips","ZLRA9350","HSBC Bank Plc","12508975","721417","USD"
"James Walker","jameswalker738@somecompany7249.com","Charles James","XPTD8846","Clydesdale Bank Plc","18310918","887527","AUD"
"James Walker","jameswalker738@somecompany7249.com","Charles James","XPTD8846","Bank of Scotland plc","78237946","006946","EUR"
"James Walker","jameswalker738@somecompany7249.com","Charles James","XPTD8846","Clydesdale Bank Plc","13488932","655253","USD"
"James Walker","jameswalker738@somecompany7249.com","Charles James","XPTD8846","Yorkshire Bank","38163461","371021","USD"
"James Walker","jameswalker738@somecompany7249.com","Ian Mitchell","KXIY2740","Barclays Bank Plc","42166666","509772","USD"
"James Walker","jameswalker738@somecompany7249.com","Ian Mitchell","KXIY2740","Barclays Bank Plc","82041490","946353","GBP"
"James Walker","jameswalker738@somecompany7249.com","Ian Mitchell","KXIY2740","Clydesdale Bank Plc","63716435","575256","GBP"
"James Walker","jameswalker738@somecompany7249.com","Ian Mitchell","KXIY2740","Bank of Scotland plc","40919300","207203","GBP"
"James Walker","jameswalker738@somecompany7249.com","Robert Smith","CJNI5494","Clydesdale Bank Plc","86523695","403327","AUD"
"James Walker","jameswalker738@somecompany7249.com","Robert Smith","CJNI5494","Lloyds Bank Plc","71517348","675145","GBP"
"James Walker","jameswalker738@somecompany7249.com","Robert Smith","CJNI5494","Lloyds Bank Plc","37154483","447827","GBP"
"James Walker","jameswalker738@somecompany7249.com","Robert Smith","CJNI5494","Standard Chartered Bank","39678764","266517","GBP"
"James Walker","jameswalker738@somecompany7249.com","Oliver Walker","XONJ0221","Clydesdale Bank Plc","65686674","846617","USD"
"James Walker","jameswalker738@somecompany7249.com","Oliver Walker","XONJ0221","Standard Chartered Bank","83263804","853094","USD"
"James Walker","jameswalker738@somecompany7249.com","Oliver Walker","XONJ0221","Metro Bank PLC","93860894","951212","USD"
"James Walker","jameswalker738@somecompany7249.com","Oliver Walker","XONJ0221","Standard Chartered Bank","03499188","519137","EUR"
"James Walker","jameswalker738@somecompany7249.com","William Brown","SUWQ7948","Standard Chartered Bank","77351495","957740","GBP"
"James Walker","jameswalker738@somecompany7249.com","William Brown","SUWQ7948","Yorkshire Bank","87020631","569354","EUR"
"James Walker","jameswalker738@somecompany7249.com","William Brown","SUWQ7948","Bank of Scotland plc","40077308","794429","USD"
"James Walker","jameswalker738@somecompany7249.com","Liam Thompson","DRUL8042","Lloyds Bank Plc","55940633","932471","USD"
"James Walker","jameswalker738@somecompany7249.com","Ian Williams","VQGD8838","Bank of Scotland plc","20243532","994560","AUD"
"James Walker","jameswalker738@somecompany7249.com","Ian Williams","VQGD8838","Bank of Scotland plc","56969776","432461","GBP"
"James Walker","jameswalker738@somecompany7249.com","Jack Jackson","BWCT0182","Clydesdale Bank Plc","42022736","960436","GBP"
"James Walker","jameswalker738@somecompany7249.com","Ian Wilson","NWVG1399","Standard Chartered Bank","67777411","301984","GBP"
"James Walker","jameswalker738@somecompany7249.com","Dylan Robinson","OKSC9971","Barclays Bank Plc","06227501","937858","EUR"
"James Walker","jameswalker738@somecompany7249.com","Dylan Robinson","OKSC9971","Barclays Bank Plc","75030413","450588","GBP"
"James Walker","jameswalker738@somecompany7249.com","Adrian Brown","DTUW1240","Standard Chartered Bank","86985611","101549","AUD"
"James Walker","jameswalker738@somecompany7249.com","Adrian Brown","DTUW1240","Barclays Bank Plc","55302185","784948","AUD"
"James Walker","jameswalker738@somecompany7249.com","Adrian Brown","DTUW1240","Yorkshire Bank","63476191","684985","USD"
"James Walker","jameswalker738@somecompany7249.com","Adrian Brown","DTUW1240","Standard Chartered Bank","09787757","841622","EUR"
"David Evans","davidevans902@somecompany1404.com","Elijah Mason","LRWQ1558","Bank of Scotland plc","02977820","383118","EUR"
"David Evans","davidevans902@somecompany1404.com","Elijah Mason","LRWQ1558","Metro Bank PLC","14954242","109790","EUR"
"David Evans","davidevans902@somecompany1404.com","Jacob Jackson","BYYJ6122","Clydesdale Bank Plc","03509541","896776","EUR"
"David Evans","davidevans902@somecompany1404.com","Sebastian Phillips","BGFZ8977","Standard Chartered Bank","78210127","598465","EUR"
"David Evans","davidevans902@somecompany1404.com","Sebastian Phillips","BGFZ8977","HSBC Bank Plc","52127927","201056","USD"
"David Evans","davidevans902@somecompany1404.com","Sebastian Phillips","BGFZ8977","Barclays Bank Plc","86306576","480965","EUR"
"David Evans","davidevans902@somecompany1404.com","John Mason","INOK0755","Bank of Scotland plc","01296569","157045","AUD"
"David Evans","davidevans902@somecompany1404.com","John Mason","INOK0755","Yorkshire Bank","93064461","276465","EUR"
"David Evans","davidevans902@somecompany1404.com","John Mason","INOK0755","Bank of Scotland plc","57525130","955962","GBP"
"David Evans","davidevans902@somecompany1404.com","John Mason","INOK0755","Bank of Scotland plc","50825366","516892","USD"
"David Evans","davidevans902@somecompany1404.com","Adrian Thompson","MUZP3899","Standard Chartered Bank","87407685","724219","EUR"
"David Evans","davidevans902@somecompany1404.com","Adrian Thompson","MUZP3899","HSBC Bank Plc","44162989","720970","GBP"
"David Evans","davidevans902@somecompany1404.com","Adrian Thompson","MUZP3899","Metro Bank PLC","67776613","378722","EUR"
"David Evans","davidevans902@somecompany1404.com","Robert Wood","KMTZ5885","Lloyds Bank Plc","69860763","197738","USD"
"David Evans","davidevans902@somecompany1404.com","Robert Wood","KMTZ5885","Lloyds Bank Plc","11655007","679619","AUD"
"David Evans","davidevans902@somecompany1404.com","John Robinson","RLXG6563","Yorkshire Bank","26196076","979680","AUD"
"David Evans","davidevans902@somecompany1404.com","John Robinson","RLXG6563","Clydesdale Bank Plc","89220637","186851","AUD"
"David Evans","davidevans902@somecompany1404.com","John Robinson","RLXG6563","Barclays Bank Plc","11506990","121660","EUR"
"David Evans","davidevans902@somecompany1404.com","John Robinson","RLXG6563","Standard Chartered Bank","33661586","237848","GBP"
"David Evans","davidevans902@somecompany1404.com","Oliver Thompson","KROX7891","Standard Chartered Bank","46103852","421639","EUR"
"Dylan Davis","dylandavis573@somecompany2139.com","Robert Green","KPUR9402","Barclays Bank Plc","75638356","736146","AUD"
"Dylan Davis","dylandavis573@somecompany2139.com","Robert Green","KPUR9402","Lloyds Bank Plc","86072445","166512","USD"
"Dylan Davis","dylandavis573@somecompany2139.com","Robert Green","KPUR9402","Metro Bank PLC","01469929","328552","GBP"
"Dylan Davis","dylandavis573@somecompany2139.com","Richard Jones","PKEX8300","Clydesdale Bank Plc","79450902","226830","USD"
"Dylan Davis","dylandavis573@somecompany2139.com","Liam Wilson","BYMN7768","Barclays Bank Plc","21588023","835519","AUD"
"Dylan Davis","dylandavis573@somecompany2139.com","Liam Wilson","BYMN7768","Lloyds Bank Plc","77014982","017226","AUD"
"Dylan Davis","dylandavis573@somecompany2139.com","Liam Wilson","BYMN7768","Barclays Bank Plc","48007803","801134","AUD"
"Dylan Davis","dylandavis573@somecompany2139.com","Lucas Davis","BWVL7333","Metro Bank PLC","20114413","888976","USD"
"Dylan Davis","dylandavis573@somecompany2139.com","Lucas Davis","BWVL7333","HSBC Bank Plc","86854261","602016","AUD"
"Dylan Davis","dylandavis573@somecompany2139.com","Lucas Davis","BWVL7333","HSBC Bank Plc","93188979","346721","GBP"
"Dylan Davis","dylandavis573@somecompany2139.com","Lucas Davis","BWVL7333","Barclays Bank Plc","12464220","304411","GBP"
"Dylan Davis","dylandavis573@somecompany2139.com","Benjamin Mason","YJNM6899","Yorkshire Bank","58859189","119711","USD"
"Dylan Davis","dylandavis573@somecompany2139.com","Joseph James","VEHM6827","Metro Bank PLC","56650244","295022","GBP"
"Dylan Davis","dylandavis573@somecompany2139.com","Joseph James","VEHM6827","Yorkshire Bank","42230836","006019","USD"
"Dylan Davis","dylandavis573@somecompany2139.com","Joseph James","VEHM6827","Barclays Bank Plc","41354469","696478","AUD"
"Dylan Davis","dylandavis573@somecompany2139.com","Joseph Thompson","LZOI6720","Yorkshire Bank","54226350","945953","EUR"
"Dylan Davis","dylandavis573@somecompany2139.com","Joseph Thompson","LZOI6720","Bank of Scotland plc","18821664","535155","USD"
"Dylan Davis","dylandavis573@somecompany2139.com","William Taylor","IGRJ8427","Bank of Scotland plc","24426553","128988","EUR"
"Dylan Davis","dylandavis573@somecompany2139.com","Noel Mitchell","NLDC0894","Standard Chartered Bank","04936520","935099","USD"
"Dylan Davis","dylandavis573@somecompany2139.com","Noel Mitchell","NLDC0894","Metro Bank PLC","84486468","268145","USD"
"Dylan Davis","dylandavis573@somecompany2139.com","David Walker","HRHK2256","HSBC Bank Plc","95518305","951671","GBP"
"Dylan Davis","dylandavis573@somecompany2139.com","David Walker","HRHK2256","Bank of Scotland plc","61630381","664412","USD"
"Dylan Davis","dylandavis573@somecompany2139.com","Adrian Jackson","WTCS3057","Lloyds Bank Plc","66912254","903663","USD"
"Dylan Davis","dylandavis573@somecompany2139.com","Robert Robinson","KTHC5423","Yorkshire Bank","76831250","631968","GBP"
"Dylan Davis","dylandavis573@somecompany2139.com","Robert Robinson","KTHC5423","Yorkshire Bank","92172129","343504","AUD"
"Dylan Davis","dylandavis573@somecompany2139.com","Robert Robinson","KTHC5423","Yorkshire Bank","35631953","845545","GBP"
"Dylan Davis","dylandavis573@somecompany2139.com","Robert Robinson","KTHC5423","HSBC Bank Plc","96502176","390699","AUD"
"Dylan Davis","dylandavis573@somecompany2139.com","Liam Jackson","PEDV7977","Metro Bank PLC","67583854","876170","AUD"
"Dylan Davis","dylandavis573@somecompany2139.com","Liam Jackson","PEDV7977","Clydesdale Bank Plc","98385201","983185","USD"
"Dylan Davis","dylandavis573@somecompany2139.com","Liam Jackson","PEDV7977","HSBC Bank Plc","20064220","443764","USD"
"Dylan Davis","dylandavis573@somecompany2139.com","Liam Jackson","PEDV7977","Bank of Scotland plc","85084123","739454","EUR"
"Dylan Davis","dylandavis573@somecompany2139.com","Liam Evans","XRZH8752","Bank of Scotland plc","92544223","540187","AUD"
"Dylan Davis","dylandavis573@somecompany2139.com","Liam Evans","XRZH8752","Bank of Scotland plc","38598024","571663","USD"
"Dylan Davis","dylandavis573@somecompany2139.com","Noah Davis","KKWL0323","Bank of Scotland plc","18823837","742900","AUD"
"Dylan Davis","dylandavis573@somecompany2139.com","Noah Davis","KKWL0323","Metro Bank PLC","06610947","251872","AUD"
"Dylan Davis","dylandavis573@somecompany2139.com","Noah Davis","KKWL0323","HSBC Bank Plc","21279828","953285","USD"
